norma_id,grupo,baixar,url,rotulo,observacao
abnt-nbr-7256,abnt,nao,https://pt.scribd.com/document/713908019/ABNT-NBR-7256-2022,ABNT NBR 7256,norma tecnica protegida por direito autoral - nao baixar nem transcrever; apenas metadados
abnt-nbr-9050,abnt,nao,https://www.caurn.gov.br/wp-content/uploads/2020/08/ABNT-NBR-9050-15-Acessibilidade-emenda-1_-03-08-2020.pdf,ABNT NBR 9050,norma tecnica protegida por direito autoral - nao baixar nem transcrever; apenas metadados
abnt-nbr-serie-14990,abnt,nao,https://pt.scribd.com/document/714880061/ABNT-NBR-14990-7-2004-pdf,ABNT NBR série 14990,norma tecnica protegida por direito autoral - nao baixar nem transcrever; apenas metadados
decreto-federal-4680-2003,decreto-federal,sim,https://www.planalto.gov.br/ccivil_03/decreto/2003/d4680.htm,Decreto Federal nº 4.680/2003,
decreto-federal-8077-2013,decreto-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d8077.htm,Decreto Federal nº 8.077/2013,
decreto-lei-986-1969,decreto-lei-federal,sim,https://www.planalto.gov.br/ccivil_03/decreto-lei/del0986.htm,Decreto-Lei nº 986/1969,
decreto-municipal-47334-2006,decreto-municipal,sim,https://legislacao.prefeitura.sp.gov.br/decreto-47334-de-31-de-maio-de-2006,Decreto Municipal nº 47.334/2006 — RIA Online,
in-anvisa-211-2023,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000211&seqAto=000&valorAno=2023&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,IN Anvisa nº 211/2023 — texto consolidado,
in-anvisa-28-2018,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000028&seqAto=000&valorAno=2018&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,IN Anvisa nº 28/2018 — texto consolidado,
in-anvisa-281-2024,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000281&seqAto=000&valorAno=2024&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,IN Anvisa nº 281/2024 — texto consolidado,
in-anvisa-360-2025,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=9431&cod_modulo=310&link=S&numeroAto=00000360&orgao=DC%2FANVISA%2FMS&seqAto=000&tipo=INM&valorAno=2025,IN Anvisa nº 360/2025,
in-anvisa-394-2025,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000394&seqAto=000&valorAno=2025&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,IN Anvisa nº 394/2025,
in-anvisa-75-2020,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000075&seqAto=000&valorAno=2020&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,IN Anvisa nº 75/2020 — texto consolidado,
in-anvisa-9-2009,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&numeroAto=00000009&orgao=DC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=INM&valorAno=2009,IN Anvisa nº 9/2009,
in-anvisa-95-2021,in-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=INM&numeroAto=00000095&seqAto=000&valorAno=2021&orgao=DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,IN Anvisa nº 95/2021,
lei-federal-10098-2000,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/l10098.htm,Lei Federal nº 10.098/2000,
lei-federal-10216-2001,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10216.htm,Lei Federal nº 10.216/2001,
lei-federal-10674-2003,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/2003/l10.674.htm,Lei Federal nº 10.674/2003,
lei-federal-10741-2003,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/2003/l10.741.htm,Lei Federal nº 10.741/2003 — Estatuto da Pessoa Idosa,
lei-federal-13021-2014,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l13021.htm,Lei Federal nº 13.021/2014,
lei-federal-13146-2015,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13146.htm,Lei Federal nº 13.146/2015,
lei-federal-13589-2018,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13589.htm,Lei Federal nº 13.589/2018,
lei-federal-13643-2018,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13643.htm,Lei Federal nº 13.643/2018,
lei-federal-15357-2026,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15357.htm,Lei Federal nº 15.357/2026,
lei-federal-15378-2026,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15378.htm,Lei Federal nº 15.378/2026 — Estatuto dos Direitos do Paciente,
lei-federal-5991-1973,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/l5991.htm,Lei Federal nº 5.991/1973,
lei-federal-6360-1976,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/l6360.htm,Lei Federal nº 6.360/1976 — texto consolidado,
lei-federal-6437-1977,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/l6437.htm,Lei Federal nº 6.437/1977,
lei-federal-8069-1990,lei-federal,sim,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,Lei Federal nº 8.069/1990 — Estatuto da Criança e do Adolescente,
lei-municipal-10348-1987,lei-municipal,sim,https://legislacao.prefeitura.sp.gov.br/lei-10348-de-04-de-setembro-de-1987,Lei Municipal nº 10.348/1987 — elevadores e aparelhos de transporte,
lei-municipal-13725-2004,lei-municipal,sim,https://legislacao.prefeitura.sp.gov.br/lei-13725-de-09-de-janeiro-de-2004,Lei Municipal nº 13.725/2004,
nr-32,nr-trabalhista,sim,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/participacao-social/conselhos-e-orgaos-colegiados/comissao-tripartite-partitaria-permanente/normas-regulamentadora/normas-regulamentadoras-vigentes/nr-32-atualizada-2023-1.pdf,NR-32,
portaria-de-consolidacao-gm-ms-3-2017,portaria-gm-ms,sim,https://www.cremerj.org.br/resolucoes/exibe/weblei/1769;jsessionid=B946291364A1C2BBE2227F06B460E3CE,"Portaria de Consolidação GM/MS nº 3/2017, Anexo V, Título V","CONFERIR: URL de conselho profissional, nao e fonte oficial"
portaria-inmetro-249-2021,portaria-inmetro,sim,https://www.in.gov.br/en/web/dou/-/portaria-inmetro-n-249-de-9-de-junho-de-2021-325383075,Portaria Inmetro nº 249/2021,CONFERIR: in.gov.br costuma bloquear acesso automatizado
portaria-mj-2658-2003,portaria-mj,sim,https://www.gov.br/mj/pt-br/assuntos/seus-direitos/consumidor/defesadoconsumidor/Biblioteca/legislacao-upload/portaria-mj-2658-de-2003.pdf,Portaria MJ nº 2.658/2003,
portaria-sms-2619-2011,portaria-sms,sim,https://legislacao.prefeitura.sp.gov.br/portaria-secretaria-municipal-da-saude-2619-de-6-de-dezembro-de-2011,Portaria SMS nº 2.619/2011,
portaria-sms-266-2025,portaria-sms,sim,https://legislacao.prefeitura.sp.gov.br/portaria-secretaria-municipal-da-saude-sms-266-de-6-de-maio-de-2025,Portaria SMS nº 266/2025 — texto consolidado,
portaria-sms-328-2024,portaria-sms,sim,https://legislacao.prefeitura.sp.gov.br/portaria-secretaria-municipal-da-saude-sms-328-de-27-de-maio-de-2024,Portaria SMS nº 328/2024,
portaria-sms-5-2019,portaria-sms,sim,https://legislacao.prefeitura.sp.gov.br/portaria-secretaria-municipal-da-saude-sms-5-de-11-de-janeiro-de-2019,Portaria SMS nº 5/2019,
portaria-svs-ms-344-1998,portaria-svs-ms,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&link=S&numeroAto=00000344&orgao=SVS%2FMS&seqAto=000&tipo=POR&valorAno=1998,Portaria SVS/MS nº 344/1998,
portaria-svs-ms-6-1999,portaria-svs-ms,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=POR&numeroAto=00000006&seqAto=000&valorAno=1999&orgao=SVS/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,Portaria SVS/MS nº 6/1999,
protocolo-saude-mental,protocolo-municipal,sim,https://prefeitura.sp.gov.br/documents/d/saude/protocolo-srt-nov-25-pdf,"Protocolo Saúde Mental — SRT, novembro de 2025",
rdc-anvisa-1000-2025,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=9434&cod_modulo=310&desItem=&desItemFim=&numeroAto=00001000&orgao=RDC%2FDC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=RDC&valorAno=2025,RDC Anvisa nº 1.000/2025 — texto consolidado,
rdc-anvisa-1002-2025,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00001002&seqAto=000&valorAno=2025&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 1.002/2025,
rdc-anvisa-1015-2026,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=detalharAto&cod_menu=8542&cod_modulo=310&desItem=&desItemFim=&nomeTitulo=codigos&numeroAto=00001015&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2026,RDC Anvisa nº 1.015/2026,
rdc-anvisa-1028-2026,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=9431&cod_modulo=310&link=S&numeroAto=00001028&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2026,RDC Anvisa nº 1.028/2026,
rdc-anvisa-15-2012,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000015&seqAto=000&valorAno=2012&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,RDC Anvisa nº 15/2012,
rdc-anvisa-156-2006,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000156&seqAto=002&valorAno=2006&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 156/2006,
rdc-anvisa-16-2014,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&numeroAto=00000016&orgao=RDC%2FDC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=RDC&valorAno=2014,RDC Anvisa nº 16/2014 — texto consolidado,
rdc-anvisa-22-2014,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=8542&cod_modulo=310&link=S&numeroAto=00000022&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2014,RDC Anvisa nº 22/2014 — SNGPC,
rdc-anvisa-222-2018,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&link=S&numeroAto=00000222&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2018,RDC Anvisa nº 222/2018,
rdc-anvisa-23-2012,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&link=S&tipo=RDC&numeroAto=00000551&seqAto=000&valorAno=2021&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_modulo=310&cod_menu=8542,RDC Anvisa nº 23/2012,
rdc-anvisa-243-2018,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000243&seqAto=000&valorAno=2018&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,RDC Anvisa nº 243/2018,
rdc-anvisa-275-2019,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=9431&cod_modulo=310&link=S&numeroAto=00000275&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2019,RDC Anvisa nº 275/2019 — texto consolidado,
rdc-anvisa-29-2011,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&cod_menu=1696&cod_modulo=134&link=S&numeroAto=00000029&orgao=RDC%2FDC%2FANVISA%2FMS&seqAto=000&tipo=RDC&valorAno=2011,RDC Anvisa nº 29/2011,
rdc-anvisa-36-2013,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000036&seqAto=000&valorAno=2013&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 36/2013,
rdc-anvisa-42-2010,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000042&seqAto=002&valorAno=2010&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 42/2010,
rdc-anvisa-429-2020,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000429&seqAto=000&valorAno=2020&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 429/2020,
rdc-anvisa-430-2020,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&link=S&tipo=RDC&numeroAto=00000430&seqAto=000&valorAno=2020&orgao=RDC/DC/ANVISA/MS&cod_modulo=310&cod_menu=8542,RDC Anvisa nº 430/2020,
rdc-anvisa-44-2009,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&numeroAto=00000044&orgao=RDC%2FDC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=RDC&valorAno=2009,RDC Anvisa nº 44/2009,
rdc-anvisa-47-2013,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000047&seqAto=000&valorAno=2013&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 47/2013,
rdc-anvisa-471-2021,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&codTipo=&cod_menu=1696&cod_modulo=134&desItem=&desItemFim=&numeroAto=00000471&orgao=RDC%2FDC%2FANVISA%2FMS&pesquisa=true&seqAto=000&tipo=RDC&valorAno=2021,RDC Anvisa nº 471/2021,
rdc-anvisa-48-2013,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000048&seqAto=000&valorAno=2013&orgao=RDC/DC/ANVISA/MS&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 48/2013,
rdc-anvisa-502-2021,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000502&seqAto=000&valorAno=2021&orgao=RDC%2FDC%2FANVISA%2FMS&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 502/2021,
rdc-anvisa-509-2021,rdc-anvisa,sim,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=RDC&numeroAto=00000509&seqAto=000&valorAno=2021&orgao=RDC/DC/ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=1696&cod_modulo=134&pesquisa=true,RDC Anvisa nº 509/2021,
